"Time","all.datatransfer.all","all.request.count","cluster.node_count","cluster.node_cpu_count","current_operation","environment","fail.datatransfer.all","fail.datatransfer.max","fail.datatransfer.mean","fail.datatransfer.min","fail.datatransfer.percent50","fail.datatransfer.percent75","fail.datatransfer.percent95","fail.datatransfer.percent99","fail.latency.max","fail.latency.mean","fail.latency.min","fail.latency.percent50","fail.latency.percent75","fail.latency.percent95","fail.latency.percent99","fail.latency.stddev","fail.request.count","fail.request.rps","latency_count.less_or_eq_800","latency_count.more_800_less_1200","latency_count.more_or_eq_1200","node_type","ok.datatransfer.all","ok.datatransfer.max","ok.datatransfer.mean","ok.datatransfer.min","ok.datatransfer.percent50","ok.datatransfer.percent75","ok.datatransfer.percent95","ok.datatransfer.percent99","ok.latency.max","ok.latency.mean","ok.latency.min","ok.latency.percent50","ok.latency.percent75","ok.latency.percent95","ok.latency.percent99","ok.latency.stddev","ok.request.count","ok.request.rps","scenario","session_id","simulation.value","step","test_name","test_suite"
2024-02-14 09:48:47,0,67988,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.78,0.330,0.0800,0.200,0.480,0.770,1.02,0.230,67988,13598,load,2024-02-14_06.47.72_session_f02249c8,20,Get balance,test_http_api,gitter.io
2024-02-14 09:48:47,0,33993,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.58,0.990,0.320,0.940,1.22,1.70,2.08,0.380,33993,6799,load,2024-02-14_06.47.72_session_f02249c8,20,InitPhace,test_http_api,gitter.io
2024-02-14 09:48:47,0,33993,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,6.58,2.94,1.15,2.90,3.36,4.09,4.67,0.660,33993,6799,load,2024-02-14_06.47.72_session_f02249c8,20,global information,test_http_api,gitter.io
2024-02-14 09:48:47,0,101985,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.51,0.640,0.180,0.610,0.810,1.22,1.57,0.310,101985,20397,load,2024-02-14_06.47.72_session_f02249c8,20,Reserve balance,test_http_api,gitter.io
2024-02-14 09:48:47,0,33993,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.83,0.340,0.0800,0.220,0.490,0.780,1.03,0.230,33993,6799,load,2024-02-14_06.47.72_session_f02249c8,20,Find balance,test_http_api,gitter.io
2024-02-14 09:48:47,0,33994,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.09,0.960,0.310,0.910,1.19,1.65,2.05,0.380,33994,6799,load,2024-02-14_06.47.72_session_f02249c8,20,EndPhace,test_http_api,gitter.io
2024-02-14 09:48:47,0,33994,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.19,0.970,0.320,0.910,1.20,1.68,2.06,0.380,33994,6799,load,2024-02-14_06.47.72_session_f02249c8,20,ConstPhace,test_http_api,gitter.io
2024-02-14 09:48:52,0,33978,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.20,0.970,0.290,0.910,1.19,1.66,2.04,0.380,33978,6796,load,2024-02-14_06.47.72_session_f02249c8,20,EndPhace,test_http_api,gitter.io
2024-02-14 09:48:52,0,33979,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.24,0.970,0.290,0.910,1.20,1.66,2.04,0.380,33979,6796,load,2024-02-14_06.47.72_session_f02249c8,20,ConstPhace,test_http_api,gitter.io
2024-02-14 09:48:52,0,33982,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.12,1,0.320,0.940,1.23,1.69,2.07,0.380,33982,6796,load,2024-02-14_06.47.72_session_f02249c8,20,InitPhace,test_http_api,gitter.io
